# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
UGC1072      +01:27.2  -01:30.0  10600.0   0.048  1.0
UGC4278      +08:10.4  +45:54.0  10600.0   0.149  1.0
ESO314-002   +08:57.4  -39:16.1  10638.9   2.655  1.0
ESO249-035   +03:58.9  -45:51.5  10694.4   0.029  1.0
NGC1003      +02:36.1  +40:40.0  10700.0   0.433  1.0
NGC1249      +03:08.6  -53:32.0  10700.0   0.409  1.0
NGC3365      +10:43.7  +02:05.0  10700.0   0.236  1.0
UGC2082      +02:33.4  +25:13.0  10700.0   0.409  1.0
IC3578       +12:36.6  +11:06.1  10708.3   0.016  1.0
IC3522       +12:34.7  +15:13.2  10722.2   0.027  1.0
ESO317-046   +10:33.0  -38:58.9  10763.9   0.126  1.0
PGC198121    +23:58.6  -22:43.8  10777.8   0.003  1.0
UGC05829     +10:42.7  +34:26.9  10791.7   0.117  1.0
ARAK65       +01:53.6  +05:21.0  10800.0   0.026  1.0
NGC1808      +05:06.0  -37:35.0  10800.0   1.000  1.0
NGC2835      +09:15.7  -22:09.0  10800.0   1.138  1.0
UGC1195      +01:39.7  +13:43.0  10800.0   0.182  1.0
UGCA103      +05:08.8  -31:40.0  10800.0   0.119  1.0
ESO305-009   +05:08.1  -38:18.5  10805.6   0.033  1.0
PGC026326    +09:18.8  +50:11.2  10833.3   0.007  1.0
PGC037838    +12:00.2  +31:13.4  10847.2   0.023  1.0
PGC041644    +12:32.9  +03:21.5  10847.2   0.020  1.0
ESO201-014   +04:00.5  -49:01.7  10861.1   0.020  1.0
ESO494-026   +08:06.2  -27:31.6  10888.9   1.294  1.0
NGC2427      +07:35.0  -47:31.0  10900.0   0.625  1.0
NGC3423      +10:48.7  +06:07.0  10900.0   0.461  1.0
NGC6684      +18:44.1  -65:14.0  10900.0   0.655  1.0
ESO207-022   +07:09.1  -51:28.0  10916.7   0.023  1.0
